,Type,Viewership Score,Days In Top 10
5605,TV Show,12,3
5606,TV Show,105,18
5607,TV Show,28,10
5608,TV Show,1228,349
5609,TV Show,74,15
5610,TV Show,241,25
5611,TV Show,111,13
5612,TV Show,182,29
5613,Stand-Up Comedy,61,8
5614,TV Show,76,11
5615,TV Show,17,4
5616,TV Show,109,19
5617,TV Show,1231,350
5618,TV Show,30,11
5619,TV Show,75,16
5620,TV Show,251,26
5621,TV Show,120,14
5622,TV Show,190,30
5623,Stand-Up Comedy,68,9
5624,TV Show,82,12
5625,TV Show,22,5
5626,TV Show,1235,351
5627,TV Show,112,20
5628,TV Show,32,12
5629,TV Show,76,17
5630,TV Show,10,1
5631,TV Show,260,27
5632,TV Show,128,15
5633,TV Show,197,31
5634,Stand-Up Comedy,74,10
5635,TV Show,1240,352
5636,TV Show,62,17
5637,TV Show,85,13
5638,Movie,2,1
5639,Movie,1,1
5640,TV Show,20,2
5641,TV Show,269,28
5642,TV Show,136,16
5643,TV Show,204,32
5644,Movie,8,2
5645,Stand-Up Comedy,79,11
5646,TV Show,1244,353
5647,Movie,4,2
5648,TV Show,2,1
5649,TV Show,63,18
5650,TV Show,30,3
5651,TV Show,278,29
5652,TV Show,144,17
5653,TV Show,211,33
5654,Movie,14,3
5655,TV Show,7,2
5656,TV Show,1248,354
5657,Stand-Up Comedy,82,12
5658,Movie,6,3
5659,TV Show,7,6
5660,TV Show,40,4
5661,TV Show,287,30
5662,TV Show,152,18
5663,TV Show,218,34
5664,TV Show,1254,355
5665,Movie,19,4
5666,TV Show,11,3
5667,TV Show,10,7
5668,Stand-Up Comedy,84,13
5669,Movie,7,4
5670,TV Show,50,5
5671,TV Show,296,31
5672,TV Show,160,19
5673,TV Show,225,35
5674,TV Show,1260,356
5675,TV Show,16,4
5676,Movie,23,5
5677,TV Show,13,8
5678,TV Show,113,23
5679,Movie,8,5
5680,TV Show,60,6
5681,TV Show,305,32
5682,TV Show,168,20
5683,TV Show,232,36
5684,TV Show,1266,357
5685,TV Show,21,5
5686,Movie,4,1
5687,TV Show,116,24
5688,TV Show,15,9
5689,Stand-Up Comedy,85,14
5690,TV Show,70,7
5691,TV Show,314,33
5692,TV Show,176,21
5693,Movie,11,2
5694,TV Show,238,37
5695,TV Show,1271,358
5696,TV Show,120,25
5697,TV Show,24,6
5698,Stand-Up Comedy,87,15
5699,TV Show,16,10
5700,TV Show,80,8
5701,TV Show,323,34
5702,TV Show,184,22
5703,TV Show,7,1
5704,TV Show,1277,359
5705,TV Show,243,38
5706,Movie,15,3
5707,TV Show,66,19
5708,TV Show,122,26
5709,Stand-Up Comedy,88,16
5710,TV Show,90,9
5711,TV Show,332,35
5712,TV Show,192,23
5713,TV Show,14,2
5714,TV Show,6,1
5715,TV Show,5,1
5716,Movie,19,4
5717,TV Show,1280,360
5718,TV Show,124,27
5719,TV Show,244,39
5720,TV Show,100,10
5721,TV Show,341,36
5722,TV Show,22,3
5723,TV Show,199,24
5724,TV Show,12,2
5725,TV Show,10,2
5726,Movie,23,5
5727,TV Show,127,28
5728,TV Show,246,40
5729,TV Show,1281,361
5730,TV Show,110,11
5731,TV Show,350,37
5732,TV Show,30,4
5733,TV Show,206,25
5734,TV Show,18,3
5735,TV Show,132,29
5736,TV Show,1285,362
5737,TV Show,13,3
5738,TV Show,248,41
5739,Movie,24,6
5740,TV Show,120,12
5741,TV Show,359,38
5742,TV Show,214,26
5743,TV Show,37,5
5744,TV Show,24,4
5745,TV Show,137,30
5746,TV Show,17,4
5747,TV Show,1288,363
5748,TV Show,250,42
5749,Movie,1,1
5750,TV Show,130,13
5751,TV Show,368,39
5752,TV Show,222,27
5753,TV Show,44,6
5754,TV Show,30,5
5755,Movie,6,2
5756,TV Show,21,5
5757,TV Show,1291,364
5758,TV Show,139,31
5759,Movie,1,1
5760,TV Show,140,14
5761,TV Show,377,40
5762,TV Show,230,28
5763,TV Show,51,7
5764,Movie,7,2
5765,Movie,11,3
5766,TV Show,34,6
5767,TV Show,24,6
5768,TV Show,1293,365
5769,TV Show,140,32
5770,TV Show,150,15
5771,TV Show,386,41
5772,Movie,15,3
5773,TV Show,237,29
5774,TV Show,57,8
5775,Movie,5,1
5776,TV Show,70,20
5777,TV Show,27,7
5778,Movie,13,4
5779,TV Show,1294,366
5780,TV Show,160,16
5781,Movie,14,2
5782,TV Show,394,42
5783,Movie,22,4
5784,TV Show,243,30
5785,TV Show,32,8
5786,Movie,17,5
5787,TV Show,60,9
5788,TV Show,1296,367
5789,TV Show,1,1
5790,Movie,24,3
5791,TV Show,169,17
5792,TV Show,402,43
5793,TV Show,250,31
5794,Movie,28,5
5795,TV Show,65,10
5796,TV Show,36,9
5797,Movie,20,6
5798,TV Show,1298,368
5799,TV Show,2,2
5800,Movie,34,4
5801,TV Show,178,18
5802,TV Show,410,44
5803,TV Show,257,32
5804,TV Show,71,11
5805,TV Show,7,3
5806,TV Show,1302,369
5807,Movie,3,1
5808,TV Show,142,33
5809,Movie,29,6
5810,TV Show,188,19
5811,Movie,43,5
5812,TV Show,418,45
5813,TV Show,14,4
5814,Movie,9,2
5815,TV Show,262,33
5816,TV Show,75,12
5817,TV Show,1305,370
5818,Movie,2,1
5819,TV Show,143,34
5820,Movie,10,1
5821,TV Show,197,20
5822,Movie,17,3
5823,TV Show,425,46
5824,Movie,49,6
5825,TV Show,19,5
5826,TV Show,266,34
5827,TV Show,1308,371
5828,TV Show,77,13
5829,Movie,3,2
5830,Movie,20,2
5831,TV Show,206,21
5832,Movie,25,4
5833,TV Show,432,47
5834,TV Show,25,6
5835,Movie,54,7
5836,TV Show,270,35
5837,TV Show,1311,372
5838,TV Show,2,1
5839,TV Show,78,14
5840,Movie,30,3
5841,Movie,9,1
5842,TV Show,102,14
5843,TV Show,213,22
5844,TV Show,438,48
5845,Movie,30,5
5846,TV Show,4,1
5847,TV Show,73,21
5848,TV Show,4,2
5849,Movie,55,8
5850,Movie,40,4
5851,Movie,18,2
5852,TV Show,110,15
5853,TV Show,220,23
5854,TV Show,10,2
5855,TV Show,443,49
5856,Movie,34,6
5857,TV Show,7,3
5858,Movie,57,9
5859,TV Show,1312,373
5860,Movie,28,3
5861,Movie,49,5
5862,TV Show,118,16
5863,TV Show,17,3
5864,TV Show,226,24
5865,TV Show,448,50
5866,Movie,38,7
5867,TV Show,10,4
5868,TV Show,2,1
5869,TV Show,271,36
5870,Movie,38,4
5871,TV Show,127,17
5872,Movie,57,6
5873,TV Show,24,4
5874,TV Show,232,25
5875,TV Show,15,5
5876,TV Show,452,51
5877,TV Show,1315,374
5878,Movie,40,8
5879,TV Show,272,37
5880,Movie,48,5
5881,TV Show,136,18
5882,TV Show,32,5
5883,Movie,64,7
5884,TV Show,238,26
5885,TV Show,457,52
5886,TV Show,19,6
5887,TV Show,1318,375
5888,TV Show,274,38
5889,Movie,41,9
5890,Movie,58,6
5891,TV Show,145,19
5892,TV Show,40,6
5893,Movie,71,8
5894,TV Show,244,27
5895,TV Show,462,53
5896,TV Show,1322,376
5897,TV Show,22,7
5898,TV Show,276,39
5899,TV Show,1,1
5900,Movie,68,7
5901,TV Show,154,20
5902,TV Show,48,7
5903,Movie,78,9
5904,TV Show,250,28
5905,TV Show,467,54
5906,Movie,4,1
5907,TV Show,1325,377
5908,TV Show,3,2
5909,TV Show,277,40
5910,Movie,10,1
5911,Movie,77,8
5912,TV Show,162,21
5913,TV Show,55,8
5914,TV Show,79,22
5915,TV Show,255,29
5916,Movie,82,10
5917,TV Show,470,55
5918,TV Show,1327,378
5919,Movie,5,2
5920,Movie,20,2
5921,Movie,86,9
5922,TV Show,170,22
5923,Movie,89,11
5924,TV Show,8,2
5925,TV Show,60,9
5926,Movie,9,3
5927,TV Show,473,56
5928,TV Show,257,30
5929,TV Show,1,1
5930,Movie,30,3
5931,Movie,95,10
5932,TV Show,178,23
5933,TV Show,67,10
5934,Movie,95,12
5935,TV Show,6,2
5936,TV Show,261,31
5937,TV Show,476,57
5938,TV Show,10,3
5939,TV Show,1328,379
5940,Movie,40,4
5941,TV Show,76,11
5942,Movie,103,11
5943,TV Show,268,32
5944,TV Show,184,24
5945,TV Show,481,58
5946,TV Show,281,41
5947,TV Show,1331,380
5948,Movie,97,13
5949,TV Show,4,3
5950,Movie,50,5
5951,TV Show,85,12
5952,TV Show,276,33
5953,Movie,7,1
5954,Movie,109,12
5955,TV Show,286,42
5956,TV Show,485,59
5957,TV Show,1334,381
5958,TV Show,186,25
5959,Movie,98,14
5960,Movie,60,6
5961,TV Show,310,36
5962,TV Show,93,13
5963,TV Show,283,34
5964,TV Show,292,43
5965,TV Show,5,1
5966,TV Show,1338,382
5967,TV Show,488,60
5968,Movie,111,13
5969,TV Show,187,26
5970,TV Show,320,37
5971,Movie,69,7
5972,Movie,15,2
5973,TV Show,12,2
5974,TV Show,99,14
5975,TV Show,288,35
5976,TV Show,296,44
5977,TV Show,1341,383
5978,Movie,9,2
5979,TV Show,489,61
5980,Movie,79,8
5981,TV Show,329,38
5982,TV Show,8,1
5983,TV Show,7,1
5984,TV Show,18,3
5985,Movie,20,3
5986,TV Show,83,23
5987,TV Show,102,15
5988,TV Show,1343,384
5989,TV Show,297,45
5990,Movie,89,9
5991,TV Show,338,39
5992,TV Show,16,2
5993,TV Show,14,2
5994,TV Show,16,4
5995,TV Show,23,4
5996,Movie,24,4
5997,TV Show,300,46
5998,TV Show,104,16
5999,TV Show,490,62
6000,Movie,99,10
6001,TV Show,25,3
6002,TV Show,346,40
6003,TV Show,21,3
6004,TV Show,29,5
6005,TV Show,21,5
6006,TV Show,304,47
6007,Movie,27,5
6008,TV Show,106,17
6009,TV Show,491,63
6010,TV Show,35,4
6011,Movie,108,11
6012,TV Show,354,41
6013,TV Show,28,4
6014,TV Show,35,6
6015,TV Show,26,6
6016,Movie,4,1
6017,TV Show,307,48
6018,TV Show,1345,385
6019,TV Show,107,18
6020,TV Show,45,5
6021,Movie,117,12
6022,TV Show,43,7
6023,TV Show,361,42
6024,TV Show,34,5
6025,Movie,9,2
6026,TV Show,1349,386
6027,TV Show,310,49
6028,TV Show,109,19
6029,TV Show,27,7
6030,TV Show,10,1
6031,Movie,9,1
6032,TV Show,31,8
6033,TV Show,52,6
6034,Movie,123,13
6035,TV Show,48,8
6036,TV Show,365,43
6037,TV Show,37,6
6038,Movie,2,1
6039,TV Show,1350,387
6040,TV Show,20,2
6041,Movie,18,2
6042,Movie,131,14
6043,TV Show,38,9
6044,TV Show,58,7
6045,Movie,7,2
6046,TV Show,52,9
6047,TV Show,40,7
6048,TV Show,367,44
6049,TV Show,492,64
6050,TV Show,30,3
6051,Movie,27,3
6052,TV Show,46,10
6053,Movie,138,15
6054,Movie,6,1
6055,TV Show,57,10
6056,TV Show,62,8
6057,Movie,10,3
6058,TV Show,85,24
6059,TV Show,493,65
6060,TV Show,40,4
6061,Movie,36,4
6062,TV Show,54,11
6063,Movie,145,16
6064,TV Show,63,11
6065,Movie,11,2
6066,Movie,14,4
6067,TV Show,65,9
6068,TV Show,495,66
6069,TV Show,1,1
6070,TV Show,50,5
6071,Movie,45,5
6072,TV Show,62,12
6073,TV Show,70,12
6074,Movie,17,3
6075,Movie,150,17
6076,TV Show,69,10
6077,TV Show,3,1
6078,Movie,16,5
6079,TV Show,2,2
6080,TV Show,60,6
6081,TV Show,71,13
6082,TV Show,78,13
6083,Movie,52,6
6084,Movie,23,4
6085,TV Show,7,3
6086,TV Show,73,11
6087,Movie,153,18
6088,Movie,18,6
6089,TV Show,1351,388
6090,TV Show,70,7
6091,TV Show,87,14
6092,TV Show,79,14
6093,Movie,59,7
6094,TV Show,13,4
6095,Movie,28,5
6096,TV Show,77,12
6097,Movie,156,19
6098,TV Show,1353,389
6099,Movie,19,7
6100,TV Show,10,1
6101,TV Show,79,8
6102,Movie,8,1
6103,TV Show,94,15
6104,TV Show,85,15
6105,TV Show,5,1
6106,Movie,4,1
6107,TV Show,16,5
6108,Movie,61,8
6109,Movie,29,6
6110,TV Show,20,2
6111,TV Show,88,9
6112,Movie,16,2
6113,TV Show,101,16
6114,TV Show,91,16
6115,Movie,9,2
6116,Movie,4,1
6117,TV Show,1356,390
6118,TV Show,18,6
6119,Movie,30,7
6120,TV Show,155,26
6121,TV Show,29,3
6122,Movie,24,3
6123,TV Show,95,10
6124,TV Show,153,25
6125,TV Show,106,17
6126,TV Show,95,17
6127,Movie,12,3
6128,TV Show,1358,391
6129,Movie,5,2
6130,TV Show,165,27
6131,TV Show,38,4
6132,TV Show,103,11
6133,Movie,31,4
6134,TV Show,159,26
6135,TV Show,111,18
6136,Movie,16,4
6137,Movie,8,3
6138,Movie,158,20
6139,TV Show,96,18
6140,TV Show,175,28
6141,TV Show,47,5
6142,TV Show,111,12
6143,TV Show,118,19
6144,Movie,37,5
6145,TV Show,164,27
6146,Movie,12,4
6147,Movie,19,5
6148,TV Show,98,19
6149,Movie,159,21
6150,TV Show,185,29
6151,TV Show,56,6
6152,TV Show,126,20
6153,TV Show,118,13
6154,TV Show,1364,392
6155,TV Show,103,20
6156,TV Show,168,28
6157,Movie,40,6
6158,Movie,21,6
6159,Movie,13,5
6160,TV Show,195,30
6161,TV Show,65,7
6162,TV Show,134,21
6163,TV Show,125,14
6164,TV Show,1370,393
6165,TV Show,108,21
6166,Movie,44,7
6167,TV Show,171,29
6168,Movie,23,7
6169,TV Show,1,1
6170,TV Show,205,31
6171,TV Show,74,8
6172,TV Show,142,22
6173,TV Show,132,15
6174,TV Show,1376,394
6175,TV Show,113,22
6176,Movie,4,1
6177,TV Show,4,2
6178,TV Show,173,30
6179,Movie,45,8
6180,TV Show,215,32
6181,TV Show,83,9
6182,TV Show,150,23
6183,Movie,7,1
6184,TV Show,1382,395
6185,TV Show,137,16
6186,Movie,8,2
6187,TV Show,7,3
6188,TV Show,115,23
6189,TV Show,174,31
6190,Movie,10,1
6191,TV Show,92,10
6192,TV Show,158,24
6193,TV Show,222,33
6194,Movie,13,2
6195,TV Show,1387,396
6196,Movie,12,3
6197,Movie,3,1
6198,TV Show,139,17
6199,Movie,160,22
6200,Movie,20,2
6201,Movie,9,1
6202,TV Show,100,11
6203,Movie,10,2
6204,TV Show,228,34
6205,TV Show,163,25
6206,Movie,16,4
6207,Movie,16,3
6208,Movie,162,23
6209,TV Show,1388,397
6210,Movie,30,3
6211,Movie,18,2
6212,Movie,18,3
6213,TV Show,107,12
6214,TV Show,169,26
6215,TV Show,233,35
6216,Movie,20,5
6217,Movie,19,4
6218,TV Show,2,1
6219,TV Show,1,1
6220,Movie,40,4
6221,Movie,27,3
6222,Movie,26,4
6223,TV Show,176,27
6224,TV Show,113,13
6225,TV Show,6,2
6226,Movie,24,6
6227,TV Show,236,36
6228,TV Show,1390,398
6229,TV Show,3,2
6230,Movie,50,5
6231,Movie,36,4
6232,Movie,34,5
6233,TV Show,183,28
6234,TV Show,12,3
6235,TV Show,118,14
6236,Movie,28,7
6237,TV Show,1393,399
6238,TV Show,238,37
6239,TV Show,4,3
6240,Movie,60,6
6241,Movie,45,5
6242,TV Show,8,1
6243,Movie,41,6
6244,TV Show,18,4
6245,TV Show,188,29
6246,TV Show,122,15
6247,TV Show,1396,400
6248,Movie,30,8
6249,TV Show,239,38
6250,Movie,70,7
6251,Movie,9,1
6252,TV Show,16,2
6253,Movie,52,6
6254,TV Show,24,5
6255,Movie,46,7
6256,TV Show,192,30
6257,TV Show,1399,401
6258,TV Show,124,16
6259,TV Show,240,39
6260,TV Show,34,6
6261,Movie,79,8
6262,TV Show,24,3
6263,Movie,16,2
6264,Movie,52,8
6265,Movie,57,7
6266,TV Show,196,31
6267,TV Show,7,4
6268,TV Show,1401,402
6269,TV Show,125,17
6270,TV Show,44,7
6271,Movie,88,9
6272,Movie,24,3
6273,TV Show,31,4
6274,Movie,58,9
6275,Movie,62,8
6276,TV Show,11,5
6277,TV Show,199,32
6278,TV Show,1403,403
6279,TV Show,126,18
6280,TV Show,54,8
6281,Movie,97,10
6282,Movie,32,4
6283,Movie,65,10
6284,TV Show,37,5
6285,TV Show,16,6
6286,Movie,66,9
6287,TV Show,202,33
6288,TV Show,1405,404
6289,TV Show,127,19
6290,TV Show,64,9
6291,Movie,106,11
6292,Movie,73,11
6293,TV Show,44,6
6294,TV Show,208,34
6295,Movie,37,5
6296,TV Show,20,7
6297,TV Show,1408,405
6298,Movie,68,10
6299,TV Show,128,20
6300,TV Show,74,10
6301,Movie,115,12
6302,Movie,81,12
6303,TV Show,215,35
6304,TV Show,50,7
6305,TV Show,1413,406
6306,TV Show,24,8
6307,Movie,3,1
6308,Movie,39,6
6309,TV Show,129,21
6310,TV Show,84,11
6311,TV Show,166,22
6312,Movie,123,13
6313,Movie,88,13
6314,TV Show,221,36
6315,TV Show,1418,407
6316,TV Show,54,8
6317,Movie,26,9
6318,TV Show,26,9
6319,TV Show,130,22
6320,TV Show,94,12
6321,TV Show,175,23
6322,Movie,131,14
6323,Movie,95,14
6324,Movie,32,10
6325,TV Show,1423,408
6326,TV Show,225,37
6327,TV Show,3,1
6328,TV Show,56,9
6329,Movie,122,22
6330,Movie,10,1
6331,TV Show,103,13
6332,TV Show,183,24
6333,Movie,39,11
6334,Movie,128,23
6335,Movie,136,15
6336,Movie,99,15
6337,Movie,22,8
6338,TV Show,1425,409
6339,Movie,1,1
6340,Movie,20,2
6341,TV Show,112,14
6342,TV Show,191,25
6343,Movie,46,12
6344,Movie,142,16
6345,TV Show,5,1
6346,Movie,132,24
6347,Movie,25,9
6348,TV Show,227,38
6349,TV Show,1,1
6350,Movie,30,3
6351,TV Show,121,15
6352,TV Show,199,26
6353,TV Show,12,2
6354,Movie,148,17
6355,TV Show,232,39
6356,TV Show,5,2
6357,Movie,102,16
6358,TV Show,1427,410
6359,TV Show,4,2
6360,Movie,40,4
6361,TV Show,130,16
6362,TV Show,207,27
6363,TV Show,19,3
6364,Movie,154,18
6365,TV Show,237,40
6366,Movie,4,1
6367,TV Show,8,3
6368,TV Show,1429,411
6369,Movie,103,17
6370,Movie,50,5
6371,TV Show,139,17
6372,TV Show,215,28
6373,TV Show,26,4
6374,Movie,160,19
6375,TV Show,242,41
6376,Movie,8,2
6377,TV Show,1432,412
6378,Movie,105,18
6379,TV Show,9,4
6380,Movie,60,6
6381,TV Show,148,18
6382,TV Show,223,29
6383,TV Show,7,1
6384,TV Show,32,5
6385,Movie,165,20
6386,Movie,12,3
6387,TV Show,245,42
6388,TV Show,1434,413
6389,Movie,106,19
6390,Movie,70,7
6391,TV Show,157,19
6392,TV Show,231,30
6393,TV Show,14,2
6394,TV Show,38,6
6395,Movie,170,21
6396,TV Show,249,43
6397,TV Show,1437,414
6398,Movie,108,20
6399,Movie,13,4
6400,TV Show,380,54
6401,Movie,79,8
6402,TV Show,165,20
6403,Movie,7,1
6404,TV Show,44,10
6405,TV Show,236,31
6406,TV Show,4,1
6407,TV Show,17,3
6408,TV Show,40,7
6409,TV Show,1438,415
6410,TV Show,390,55
6411,Movie,88,9
6412,Movie,15,2
6413,TV Show,172,21
6414,TV Show,50,11
6415,TV Show,9,2
6416,TV Show,240,32
6417,Movie,3,1
6418,TV Show,19,4
6419,Movie,171,22
6420,TV Show,400,56
6421,Movie,97,10
6422,TV Show,17,3
6423,TV Show,179,22
6424,TV Show,56,12
6425,Movie,20,3
6426,Movie,7,2
6427,TV Show,243,33
6428,TV Show,21,5
6429,Movie,1,1
6430,TV Show,410,57
6431,TV Show,26,4
6432,Movie,105,11
6433,TV Show,186,23
6434,TV Show,62,13
6435,Movie,12,3
6436,TV Show,247,34
6437,Movie,23,4
6438,TV Show,23,6
6439,TV Show,250,44
6440,TV Show,420,58
6441,TV Show,35,5
6442,TV Show,194,24
6443,Movie,112,12
6444,TV Show,68,14
6445,Movie,17,4
6446,TV Show,251,35
6447,Movie,26,5
6448,Movie,2,1
6449,Movie,1,1
6450,TV Show,430,59
6451,TV Show,44,6
6452,TV Show,202,25
6453,Movie,119,13
6454,TV Show,74,15
6455,TV Show,256,36
6456,Movie,6,2
6457,Movie,20,5
6458,Movie,34,10
6459,Movie,39,11
6460,TV Show,440,60
6461,TV Show,53,7
6462,TV Show,210,26
6463,Movie,126,14
6464,TV Show,80,16
6465,Movie,11,3
6466,TV Show,260,37
6467,Movie,42,12
6468,Movie,22,6
6469,Movie,35,11
6470,TV Show,450,61
6471,TV Show,62,8
6472,Movie,134,15
6473,TV Show,217,27
6474,TV Show,6,1
6475,TV Show,85,17
6476,Movie,15,4
6477,Movie,45,13
6478,TV Show,262,38
6479,Movie,36,12
6480,TV Show,460,62
6481,TV Show,71,9
6482,Movie,142,16
6483,TV Show,224,28
6484,TV Show,12,2
6485,Movie,50,14
6486,Movie,19,5
6487,TV Show,88,18
6488,Movie,38,13
6489,TV Show,263,39
6490,TV Show,470,63
6491,TV Show,80,10
6492,Movie,150,17
6493,TV Show,231,29
6494,TV Show,18,3
6495,Movie,55,15
6496,Movie,23,6
6497,TV Show,266,40
6498,TV Show,90,19
6499,Movie,39,14
6500,TV Show,480,64
6501,TV Show,89,11
6502,TV Show,239,30
6503,TV Show,25,4
6504,Movie,156,18
6505,Movie,60,16
6506,TV Show,270,41
6507,TV Show,93,20
6508,Movie,25,7
6509,Movie,40,15
6510,TV Show,490,65
6511,TV Show,98,12
6512,TV Show,247,31
6513,Movie,7,1
6514,Movie,162,19
6515,TV Show,30,5
6516,TV Show,274,42
6517,Movie,63,17
6518,TV Show,95,21
6519,Movie,26,8
6520,TV Show,10,1
6521,TV Show,499,66
6522,TV Show,106,13
6523,Movie,14,2
6524,TV Show,253,32
6525,Movie,167,20
6526,TV Show,278,43
6527,Movie,66,18
6528,TV Show,32,6
6529,TV Show,1439,416
6530,TV Show,20,2
6531,Movie,9,1
6532,TV Show,507,67
6533,TV Show,113,14
6534,Movie,20,3
6535,TV Show,258,33
6536,Movie,171,21
6537,TV Show,281,44
6538,TV Show,1441,417
6539,Movie,67,19
6540,TV Show,30,3
6541,Movie,18,2
6542,TV Show,515,68
6543,TV Show,7,1
6544,TV Show,119,15
6545,Movie,176,22
6546,Movie,24,4
6547,TV Show,261,34
6548,TV Show,283,45
6549,TV Show,1442,418
6550,TV Show,40,4
6551,Movie,27,3
6552,TV Show,15,2
6553,TV Show,522,69
6554,TV Show,125,16
6555,Movie,181,23
6556,Movie,28,5
6557,TV Show,264,35
6558,TV Show,285,46
6559,TV Show,263,45
6560,TV Show,25,3
6561,TV Show,49,5
6562,Movie,35,4
6563,TV Show,529,70
6564,TV Show,131,17
6565,Movie,186,24
6566,TV Show,268,36
6567,Movie,31,6
6568,TV Show,265,46
6569,TV Show,286,47
6570,TV Show,35,4
6571,TV Show,58,6
6572,Movie,8,1
6573,Movie,42,5
6574,TV Show,535,71
6575,TV Show,136,18
6576,TV Show,272,37
6577,TV Show,268,47
6578,Movie,188,25
6579,TV Show,287,48
6580,TV Show,45,5
6581,TV Show,67,7
6582,Movie,16,2
6583,Movie,49,6
6584,TV Show,541,72
6585,TV Show,141,19
6586,TV Show,4,1
6587,TV Show,275,38
6588,TV Show,270,48
6589,Movie,189,26
6590,TV Show,55,6
6591,TV Show,208,35
6592,TV Show,75,8
6593,Movie,23,3
6594,Movie,55,7
6595,TV Show,546,73
6596,TV Show,145,20
6597,TV Show,7,2
6598,TV Show,272,49
6599,TV Show,276,39
6600,TV Show,65,7
6601,TV Show,217,36
6602,Movie,8,1
6603,TV Show,82,9
6604,TV Show,552,74
6605,TV Show,277,50
6606,Movie,59,8
6607,Movie,3,1
6608,Movie,25,4
6609,TV Show,8,3
6610,TV Show,287,51
6611,TV Show,74,8
6612,TV Show,225,37
6613,Movie,15,2
6614,TV Show,88,10
6615,TV Show,557,75
6616,Movie,7,2
6617,TV Show,1445,419
6618,TV Show,278,40
6619,Movie,60,9
6620,TV Show,297,52
6621,TV Show,83,9
6622,TV Show,233,38
6623,Movie,22,3
6624,TV Show,94,11
6625,TV Show,562,76
6626,Movie,11,3
6627,Movie,63,10
6628,TV Show,280,41
6629,TV Show,1,1
6630,TV Show,307,53
6631,TV Show,92,10
6632,TV Show,241,39
6633,Movie,29,4
6634,TV Show,100,12
6635,TV Show,567,77
6636,Movie,15,4
6637,TV Show,4,2
6638,TV Show,282,42
6639,TV Show,1446,420
6640,TV Show,317,54
6641,TV Show,101,11
6642,TV Show,249,40
6643,Movie,36,5
6644,TV Show,106,13
6645,TV Show,572,78
6646,TV Show,1450,421
6647,TV Show,285,43
6648,TV Show,6,3
6649,Movie,1,1
6650,TV Show,327,55
6651,TV Show,110,12
6652,TV Show,257,41
6653,Movie,43,6
6654,TV Show,112,14
6655,TV Show,1455,422
6656,TV Show,576,79
6657,Movie,4,2
6658,TV Show,287,44
6659,TV Show,7,4
6660,TV Show,337,56
6661,TV Show,119,13
6662,TV Show,273,43
6663,Movie,50,7
6664,TV Show,118,15
6665,TV Show,1460,423
6666,TV Show,580,80
6667,Movie,7,3
6668,TV Show,9,5
6669,TV Show,288,45
6670,TV Show,347,57
6671,TV Show,128,14
6672,TV Show,281,44
6673,TV Show,7,1
6674,TV Show,1466,424
6675,TV Show,123,16
6676,Movie,54,8
6677,TV Show,3,1
6678,TV Show,582,81
6679,TV Show,10,6
6680,TV Show,357,58
6681,TV Show,9,1
6682,TV Show,8,1
6683,Movie,7,1
6684,TV Show,6,1
6685,TV Show,133,15
6686,TV Show,285,45
6687,TV Show,1469,425
6688,TV Show,5,2
6689,TV Show,11,7
6690,TV Show,19,2
6691,TV Show,366,59
6692,TV Show,16,2
6693,Movie,14,2
6694,TV Show,12,2
6695,TV Show,138,16
6696,TV Show,289,46
6697,TV Show,14,8
6698,TV Show,7,3
6699,TV Show,124,17
6700,TV Show,29,3
6701,TV Show,25,3
6702,TV Show,374,60
6703,TV Show,19,3
6704,Movie,20,3
6705,TV Show,143,17
6706,TV Show,293,47
6707,TV Show,17,9
6708,TV Show,9,4
6709,TV Show,1,1
6710,TV Show,39,4
6711,TV Show,34,4
6712,TV Show,382,61
6713,TV Show,26,4
6714,Movie,26,4
6715,TV Show,148,18
6716,TV Show,297,48
6717,TV Show,4,2
6718,TV Show,1471,426
6719,Movie,1,1
6720,TV Show,49,5
6721,TV Show,43,5
6722,TV Show,8,1
6723,TV Show,389,62
6724,TV Show,32,5
6725,Movie,31,5
6726,Movie,4,1
6727,Movie,3,1
6728,Movie,3,2
6729,TV Show,149,19
6730,TV Show,18,2
6731,TV Show,58,6
6732,TV Show,51,6
6733,TV Show,396,63
6734,TV Show,38,6
6735,Movie,8,2
6736,Movie,4,1
6737,Movie,34,6
6738,Movie,6,2
6739,Movie,1,1
6740,TV Show,61,7
6741,TV Show,67,7
6742,TV Show,26,3
6743,TV Show,403,64
6744,Movie,10,2
6745,TV Show,43,7
6746,Movie,12,3
6747,Movie,9,3
6748,Movie,36,7
6749,TV Show,63,16
6750,TV Show,153,20
6751,TV Show,70,8
6752,TV Show,34,4
6753,TV Show,74,8
6754,TV Show,409,65
6755,Movie,17,4
6756,Movie,14,3
6757,TV Show,46,8
6758,Movie,38,8
6759,TV Show,1,1
6760,TV Show,163,21
6761,TV Show,79,9
6762,TV Show,42,5
6763,TV Show,81,9
6764,TV Show,415,66
6765,Movie,19,4
6766,Movie,21,5
6767,TV Show,49,9
6768,Movie,40,9
6769,TV Show,2,2
6770,TV Show,173,22
6771,TV Show,88,10
6772,TV Show,423,67
6773,TV Show,49,6
6774,TV Show,87,10
6775,Movie,24,5
6776,Movie,25,6
6777,TV Show,52,10
6778,TV Show,4,3
6779,Movie,41,10
6780,TV Show,183,23
6781,TV Show,97,11
6782,TV Show,431,68
6783,TV Show,56,7
6784,Movie,30,6
6785,TV Show,92,11
6786,Movie,29,7
6787,TV Show,55,11
6788,TV Show,6,4
